0,1,2,3,4
900.0,500.0,130.0,940.0,-0.7
70.0,650.0,90.0,390.0,-0.5
220.0,800.0,500.0,870.0,-0.7
180.0,550.0,380.0,330.0,-0.5
620.0,480.0,470.0,0.0,-0.4
310.0,440.0,840.0,800.0,-0.8
820.0,60.0,630.0,280.0,-0.5
90.0,560.0,690.0,500.0,-0.7
790.0,240.0,820.0,130.0,-0.5
590.0,640.0,730.0,40.0,-0.5
770.0,580.0,310.0,930.0,-0.7
290.0,560.0,290.0,650.0,-0.7
0.0,190.0,610.0,890.0,-0.6
170.0,120.0,920.0,410.0,-0.7
30.0,170.0,570.0,530.0,-0.5
960.0,990.0,430.0,160.0,-0.3
360.0,500.0,820.0,480.0,-0.8
530.0,880.0,780.0,480.0,-0.4
250.0,350.0,930.0,810.0,-0.8
60.0,230.0,790.0,780.0,-0.6
40.0,880.0,530.0,470.0,-0.4
580.0,290.0,640.0,590.0,-0.5
830.0,410.0,110.0,460.0,-0.6
300.0,70.0,290.0,50.0,-0.5
860.0,940.0,580.0,160.0,-0.3
930.0,30.0,700.0,110.0,-0.7
580.0,0.0,310.0,900.0,-0.6
660.0,970.0,180.0,580.0,-0.3
620.0,370.0,550.0,150.0,-0.5
110.0,530.0,860.0,260.0,-0.8
750.0,520.0,320.0,230.0,-0.5
