0,1,2
720.0,370.0,-0.54
170.0,620.0,-0.71
450.0,520.0,-0.79
460.0,520.0,-0.84
480.0,520.0,-0.86
510.0,560.0,-0.85
530.0,500.0,-0.66
480.0,550.0,-0.81
520.0,590.0,-0.78
470.0,500.0,-0.83
60.0,10.0,-0.29
920.0,990.0,-0.62
0.0,980.0,-0.35
40.0,500.0,-0.51
230.0,750.0,-0.78
300.0,820.0,-0.78
320.0,730.0,-0.76
210.0,850.0,-0.75
420.0,850.0,-0.76
330.0,940.0,-0.71
400.0,610.0,-0.78
410.0,610.0,-0.78
420.0,580.0,-0.77
430.0,570.0,-0.79
440.0,550.0,-0.84
430.0,540.0,-0.83
990.0,0.0,-0.29
410.0,590.0,-0.77
430.0,550.0,-0.82
420.0,540.0,-0.81
430.0,530.0,-0.84
